ID,SESSO,CLASSE,COMPR_PRE,COMPR_POST,PRE_VOCAB_ESPR,POST_VOCAB_ESPR,PRE_VOCAB_REC,POST_VOCAB_REC,COMPR_PRE_prop,COMPR_POST_prop,PRE_VOCAB_ESPR_prop,POST_VOCAB_ESPR_prop,PRE_VOCAB_REC_prop,POST_VOCAB_REC_prop
user1,M,5 ELEMENTARE,6/24,13/24,63/67,63/67,,,0.25,0.5416666666666666,0.9402985074626866,0.9402985074626866,,
user2,M,4 ELEMENTARE,11/24,11/24,57/67,59/67,,,0.4583333333333333,0.4583333333333333,0.8507462686567164,0.8805970149253731,,
user3,F,3 ELEMENTARE,11/24,11/24,61/67,61/67,31/42,,0.4583333333333333,0.4583333333333333,0.9104477611940298,0.9104477611940298,0.7380952380952381,
user8,M,3 ELEMENTARE,10/24,9/24,57/67,62/67,34/42,,0.4166666666666667,0.375,0.8507462686567164,0.9253731343283582,0.8095238095238095,
user9,M,3 ELEMENTARE,9/24,7/24,61/67,63/67,33/42,32/42,0.375,0.2916666666666667,0.9104477611940298,0.9402985074626866,0.7857142857142857,0.7619047619047619
user10,M,5 ELEMENTARE,12/24,12/24,61/67,61/67,34/42,34/42,0.5,0.5,0.9104477611940298,0.9104477611940298,0.8095238095238095,0.8095238095238095
user11,M,5 ELEMENTARE,10/24,6/24,56/67,56/67,32/42,35/42,0.4166666666666667,0.25,0.835820895522388,0.835820895522388,0.7619047619047619,0.8333333333333334
user12,M,5 ELEMENTARE,9/24,11/24,49/67,49/67,30/42,30/42,0.375,0.4583333333333333,0.7313432835820896,0.7313432835820896,0.7142857142857143,0.7142857142857143
user15,F,3 ELEMENTARE,6/24,3/24,50/67,53/67,28/42,33/42,0.25,0.125,0.746268656716418,0.7910447761194029,0.6666666666666666,0.7857142857142857
user24,M,5 ELEMENTARE,8/24,10/24,60/67,63/67,31/42,,0.3333333333333333,0.4166666666666667,0.8955223880597015,0.9402985074626866,0.7380952380952381,
